Unnamed: 0,boxscore_index,date,datetime,game,location,losses,opponent_abbr,opponent_name,playoffs,points_allowed,points_scored,result,streak,time,wins,year,team_abbr
0,201410290CHO,"Wed, Oct 29, 2014",2014-10-29,1,Away,1,CHO,Charlotte Hornets,False,108,106,Loss,L 1,7:00p,0,2015,MIL
1,201410310MIL,"Fri, Oct 31, 2014",2014-10-31,2,Home,1,PHI,Philadelphia 76ers,False,81,93,Win,W 1,8:30p,1,2015,MIL
2,201411010WAS,"Sat, Nov 1, 2014",2014-11-01,3,Away,2,WAS,Washington Wizards,False,108,97,Loss,L 1,7:00p,1,2015,MIL
3,201411040IND,"Tue, Nov 4, 2014",2014-11-04,4,Away,2,IND,Indiana Pacers,False,81,87,Win,W 1,7:00p,2,2015,MIL
4,201411050MIL,"Wed, Nov 5, 2014",2014-11-05,5,Home,3,CHI,Chicago Bulls,False,95,86,Loss,L 1,8:00p,2,2015,MIL
5,201411070DET,"Fri, Nov 7, 2014",2014-11-07,6,Away,4,DET,Detroit Pistons,False,98,95,Loss,L 2,7:30p,2,2015,MIL
6,201411080MIL,"Sat, Nov 8, 2014",2014-11-08,7,Home,4,MEM,Memphis Grizzlies,False,92,93,Win,W 1,8:30p,3,2015,MIL
7,201411110MIL,"Tue, Nov 11, 2014",2014-11-11,8,Home,4,OKC,Oklahoma City Thunder,False,78,85,Win,W 2,8:00p,4,2015,MIL
8,201411140ORL,"Fri, Nov 14, 2014",2014-11-14,9,Away,5,ORL,Orlando Magic,False,101,85,Loss,L 1,7:00p,4,2015,MIL
9,201411160MIA,"Sun, Nov 16, 2014",2014-11-16,10,Away,5,MIA,Miami Heat,False,84,91,Win,W 1,6:00p,5,2015,MIL
10,201411180MIL,"Tue, Nov 18, 2014",2014-11-18,11,Home,5,NYK,New York Knicks,False,113,117,Win,W 2,8:00p,6,2015,MIL
11,201411190BRK,"Wed, Nov 19, 2014",2014-11-19,12,Away,5,BRK,Brooklyn Nets,False,118,122,Win,W 3,7:30p,7,2015,MIL
12,201411210TOR,"Fri, Nov 21, 2014",2014-11-21,13,Away,6,TOR,Toronto Raptors,False,124,82,Loss,L 1,7:30p,7,2015,MIL
13,201411220MIL,"Sat, Nov 22, 2014",2014-11-22,14,Home,7,WAS,Washington Wizards,False,111,100,Loss,L 2,8:30p,7,2015,MIL
14,201411250MIL,"Tue, Nov 25, 2014",2014-11-25,15,Home,7,DET,Detroit Pistons,False,86,98,Win,W 1,8:00p,8,2015,MIL
15,201411260MIN,"Wed, Nov 26, 2014",2014-11-26,16,Away,7,MIN,Minnesota Timberwolves,False,86,103,Win,W 2,8:00p,9,2015,MIL
16,201411280DET,"Fri, Nov 28, 2014",2014-11-28,17,Away,7,DET,Detroit Pistons,False,88,104,Win,W 3,7:30p,10,2015,MIL
17,201411290MIL,"Sat, Nov 29, 2014",2014-11-29,18,Home,8,HOU,Houston Rockets,False,117,103,Loss,L 1,9:00p,10,2015,MIL
18,201412020CLE,"Tue, Dec 2, 2014",2014-12-02,19,Away,9,CLE,Cleveland Cavaliers,False,111,108,Loss,L 2,7:00p,10,2015,MIL
19,201412030MIL,"Wed, Dec 3, 2014",2014-12-03,20,Home,10,DAL,Dallas Mavericks,False,107,105,Loss,L 3,8:00p,10,2015,MIL
20,201412050MIL,"Fri, Dec 5, 2014",2014-12-05,21,Home,10,MIA,Miami Heat,False,85,109,Win,W 1,8:30p,11,2015,MIL
21,201412070DAL,"Sun, Dec 7, 2014",2014-12-07,22,Away,11,DAL,Dallas Mavericks,False,125,102,Loss,L 1,7:30p,11,2015,MIL
22,201412090OKC,"Tue, Dec 9, 2014",2014-12-09,23,Away,12,OKC,Oklahoma City Thunder,False,114,101,Loss,L 2,8:00p,11,2015,MIL
23,201412130MIL,"Sat, Dec 13, 2014",2014-12-13,24,Home,12,LAC,Los Angeles Clippers,False,106,111,Win,W 1,7:30p,12,2015,MIL
24,201412150PHO,"Mon, Dec 15, 2014",2014-12-15,25,Away,12,PHO,Phoenix Suns,False,94,96,Win,W 2,9:00p,13,2015,MIL
25,201412170POR,"Wed, Dec 17, 2014",2014-12-17,26,Away,13,POR,Portland Trail Blazers,False,104,97,Loss,L 1,10:00p,13,2015,MIL
26,201412180SAC,"Thu, Dec 18, 2014",2014-12-18,27,Away,13,SAC,Sacramento Kings,False,107,108,Win,W 1,10:00p,14,2015,MIL
27,201412200LAC,"Sat, Dec 20, 2014",2014-12-20,28,Away,14,LAC,Los Angeles Clippers,False,106,102,Loss,L 1,10:30p,14,2015,MIL
28,201412230MIL,"Tue, Dec 23, 2014",2014-12-23,29,Home,15,CHO,Charlotte Hornets,False,108,101,Loss,L 2,8:00p,14,2015,MIL
29,201412260ATL,"Fri, Dec 26, 2014",2014-12-26,30,Away,15,ATL,Atlanta Hawks,False,77,107,Win,W 1,7:30p,15,2015,MIL
30,201412270MIL,"Sat, Dec 27, 2014",2014-12-27,31,Home,16,ATL,Atlanta Hawks,False,90,85,Loss,L 1,8:30p,15,2015,MIL
31,201412290CHO,"Mon, Dec 29, 2014",2014-12-29,32,Away,16,CHO,Charlotte Hornets,False,94,104,Win,W 1,7:00p,16,2015,MIL
32,201412310CLE,"Wed, Dec 31, 2014",2014-12-31,33,Away,16,CLE,Cleveland Cavaliers,False,80,96,Win,W 2,7:00p,17,2015,MIL
33,201501020MIL,"Fri, Jan 2, 2015",2015-01-02,34,Home,17,IND,Indiana Pacers,False,94,91,Loss,L 1,8:30p,17,2015,MIL
34,201501040NYK,"Sun, Jan 4, 2015",2015-01-04,35,Away,17,NYK,New York Knicks,False,82,95,Win,W 1,7:30p,18,2015,MIL
35,201501060MIL,"Tue, Jan 6, 2015",2015-01-06,36,Home,18,PHO,Phoenix Suns,False,102,96,Loss,L 1,8:00p,18,2015,MIL
36,201501070PHI,"Wed, Jan 7, 2015",2015-01-07,37,Away,18,PHI,Philadelphia 76ers,False,77,97,Win,W 1,7:00p,19,2015,MIL
37,201501090MIL,"Fri, Jan 9, 2015",2015-01-09,38,Home,18,MIN,Minnesota Timberwolves,False,84,98,Win,W 2,8:30p,20,2015,MIL
38,201501100CHI,"Sat, Jan 10, 2015",2015-01-10,39,Away,19,CHI,Chicago Bulls,False,95,87,Loss,L 1,8:00p,20,2015,MIL
39,201501150MIL,"Thu, Jan 15, 2015",2015-01-15,40,Home,19,NYK,New York Knicks,False,79,95,Win,W 1,3:00p,21,2015,MIL
40,201501190MIL,"Mon, Jan 19, 2015",2015-01-19,41,Home,20,TOR,Toronto Raptors,False,92,89,Loss,L 1,8:00p,21,2015,MIL
41,201501220MIL,"Thu, Jan 22, 2015",2015-01-22,42,Home,21,UTA,Utah Jazz,False,101,99,Loss,L 2,8:00p,21,2015,MIL
42,201501240MIL,"Sat, Jan 24, 2015",2015-01-24,43,Home,21,DET,Detroit Pistons,False,86,101,Win,W 1,7:30p,22,2015,MIL
43,201501250SAS,"Sun, Jan 25, 2015",2015-01-25,44,Away,22,SAS,San Antonio Spurs,False,101,95,Loss,L 1,7:00p,22,2015,MIL
44,201501270MIA,"Tue, Jan 27, 2015",2015-01-27,45,Away,22,MIA,Miami Heat,False,102,109,Win,W 1,7:30p,23,2015,MIL
45,201501290ORL,"Thu, Jan 29, 2015",2015-01-29,46,Away,22,ORL,Orlando Magic,False,100,115,Win,W 2,7:00p,24,2015,MIL
46,201501310MIL,"Sat, Jan 31, 2015",2015-01-31,47,Home,22,POR,Portland Trail Blazers,False,88,95,Win,W 3,8:30p,25,2015,MIL
47,201502020TOR,"Mon, Feb 2, 2015",2015-02-02,48,Away,22,TOR,Toronto Raptors,False,75,82,Win,W 4,7:30p,26,2015,MIL
48,201502040MIL,"Wed, Feb 4, 2015",2015-02-04,49,Home,22,LAL,Los Angeles Lakers,False,105,113,Win,W 5,8:00p,27,2015,MIL
49,201502060HOU,"Fri, Feb 6, 2015",2015-02-06,50,Away,23,HOU,Houston Rockets,False,117,111,Loss,L 1,8:00p,27,2015,MIL
50,201502070MIL,"Sat, Feb 7, 2015",2015-02-07,51,Home,23,BOS,Boston Celtics,False,93,96,Win,W 1,8:30p,28,2015,MIL
51,201502090MIL,"Mon, Feb 9, 2015",2015-02-09,52,Home,23,BRK,Brooklyn Nets,False,97,103,Win,W 2,8:00p,29,2015,MIL
52,201502110MIL,"Wed, Feb 11, 2015",2015-02-11,53,Home,23,SAC,Sacramento Kings,False,103,111,Win,W 3,8:00p,30,2015,MIL
53,201502200MIL,"Fri, Feb 20, 2015",2015-02-20,54,Home,23,DEN,Denver Nuggets,False,81,89,Win,W 4,8:30p,31,2015,MIL
54,201502220MIL,"Sun, Feb 22, 2015",2015-02-22,55,Home,24,ATL,Atlanta Hawks,False,97,86,Loss,L 1,3:30p,31,2015,MIL
55,201502230CHI,"Mon, Feb 23, 2015",2015-02-23,56,Away,25,CHI,Chicago Bulls,False,87,71,Loss,L 2,8:00p,31,2015,MIL
56,201502250MIL,"Wed, Feb 25, 2015",2015-02-25,57,Home,25,PHI,Philadelphia 76ers,False,88,104,Win,W 1,8:00p,32,2015,MIL
57,201502270LAL,"Fri, Feb 27, 2015",2015-02-27,58,Away,26,LAL,Los Angeles Lakers,False,101,93,Loss,L 1,10:30p,32,2015,MIL
58,201502280UTA,"Sat, Feb 28, 2015",2015-02-28,59,Away,27,UTA,Utah Jazz,False,82,75,Loss,L 2,9:00p,32,2015,MIL
59,201503030DEN,"Tue, Mar 3, 2015",2015-03-03,60,Away,28,DEN,Denver Nuggets,False,106,95,Loss,L 3,9:00p,32,2015,MIL
60,201503040GSW,"Wed, Mar 4, 2015",2015-03-04,61,Away,29,GSW,Golden State Warriors,False,102,93,Loss,L 4,10:30p,32,2015,MIL
61,201503070MIL,"Sat, Mar 7, 2015",2015-03-07,62,Home,29,WAS,Washington Wizards,False,85,91,Win,W 1,8:30p,33,2015,MIL
62,201503090MIL,"Mon, Mar 9, 2015",2015-03-09,63,Home,30,NOP,New Orleans Pelicans,False,114,103,Loss,L 1,8:00p,33,2015,MIL
63,201503110MIL,"Wed, Mar 11, 2015",2015-03-11,64,Home,30,ORL,Orlando Magic,False,91,97,Win,W 1,8:00p,34,2015,MIL
64,201503120IND,"Thu, Mar 12, 2015",2015-03-12,65,Away,31,IND,Indiana Pacers,False,109,103,Loss,L 1,7:00p,34,2015,MIL
65,201503140MEM,"Sat, Mar 14, 2015",2015-03-14,66,Away,32,MEM,Memphis Grizzlies,False,96,83,Loss,L 2,8:00p,34,2015,MIL
66,201503170NOP,"Tue, Mar 17, 2015",2015-03-17,67,Away,33,NOP,New Orleans Pelicans,False,85,84,Loss,L 3,8:00p,34,2015,MIL
67,201503180MIL,"Wed, Mar 18, 2015",2015-03-18,68,Home,34,SAS,San Antonio Spurs,False,114,103,Loss,L 4,8:00p,34,2015,MIL
68,201503200BRK,"Fri, Mar 20, 2015",2015-03-20,69,Away,35,BRK,Brooklyn Nets,False,129,127,Loss,L 5,7:30p,34,2015,MIL
69,201503220MIL,"Sun, Mar 22, 2015",2015-03-22,70,Home,36,CLE,Cleveland Cavaliers,False,108,90,Loss,L 6,3:00p,34,2015,MIL
70,201503240MIL,"Tue, Mar 24, 2015",2015-03-24,71,Home,36,MIA,Miami Heat,False,88,89,Win,W 1,8:00p,35,2015,MIL
71,201503260MIL,"Thu, Mar 26, 2015",2015-03-26,72,Home,36,IND,Indiana Pacers,False,107,111,Win,W 2,8:00p,36,2015,MIL
72,201503280MIL,"Sat, Mar 28, 2015",2015-03-28,73,Home,37,GSW,Golden State Warriors,False,108,95,Loss,L 1,8:30p,36,2015,MIL
73,201503300ATL,"Mon, Mar 30, 2015",2015-03-30,74,Away,38,ATL,Atlanta Hawks,False,101,88,Loss,L 2,7:30p,36,2015,MIL
74,201504010MIL,"Wed, Apr 1, 2015",2015-04-01,75,Home,38,CHI,Chicago Bulls,False,91,95,Win,W 1,8:00p,37,2015,MIL
75,201504030BOS,"Fri, Apr 3, 2015",2015-04-03,76,Away,38,BOS,Boston Celtics,False,101,110,Win,W 2,7:30p,38,2015,MIL
76,201504040MIL,"Sat, Apr 4, 2015",2015-04-04,77,Home,39,ORL,Orlando Magic,False,97,90,Loss,L 1,8:30p,38,2015,MIL
77,201504080MIL,"Wed, Apr 8, 2015",2015-04-08,78,Home,40,CLE,Cleveland Cavaliers,False,104,99,Loss,L 2,8:00p,38,2015,MIL
78,201504100NYK,"Fri, Apr 10, 2015",2015-04-10,79,Away,40,NYK,New York Knicks,False,91,99,Win,W 1,7:30p,39,2015,MIL
79,201504120MIL,"Sun, Apr 12, 2015",2015-04-12,80,Home,40,BRK,Brooklyn Nets,False,73,96,Win,W 2,3:00p,40,2015,MIL
80,201504130PHI,"Mon, Apr 13, 2015",2015-04-13,81,Away,40,PHI,Philadelphia 76ers,False,97,107,Win,W 3,7:00p,41,2015,MIL
81,201504150MIL,"Wed, Apr 15, 2015",2015-04-15,82,Home,41,BOS,Boston Celtics,False,105,100,Loss,L 1,8:00p,41,2015,MIL
82,201504180CHI,"Sat, Apr 18, 2015",2015-04-18,1,Away,1,CHI,Chicago Bulls,True,103,91,Loss,L 1,7:00p,0,2015,MIL
83,201504200CHI,"Mon, Apr 20, 2015",2015-04-20,2,Away,2,CHI,Chicago Bulls,True,91,82,Loss,L 2,8:00p,0,2015,MIL
84,201504230MIL,"Thu, Apr 23, 2015",2015-04-23,3,Home,3,CHI,Chicago Bulls,True,113,106,Loss,L 3,8:00p,0,2015,MIL
85,201504250MIL,"Sat, Apr 25, 2015",2015-04-25,4,Home,3,CHI,Chicago Bulls,True,90,92,Win,W 1,5:30p,1,2015,MIL
86,201504270CHI,"Mon, Apr 27, 2015",2015-04-27,5,Away,3,CHI,Chicago Bulls,True,88,94,Win,W 2,8:00p,2,2015,MIL
87,201504300MIL,"Thu, Apr 30, 2015",2015-04-30,6,Home,4,CHI,Chicago Bulls,True,120,66,Loss,L 1,7:00p,2,2015,MIL
88,201510280MIL,"Wed, Oct 28, 2015",2015-10-28,1,Home,1,NYK,New York Knicks,False,122,97,Loss,L 1,8:00p,0,2016,MIL
89,201510300MIL,"Fri, Oct 30, 2015",2015-10-30,2,Home,2,WAS,Washington Wizards,False,118,113,Loss,L 2,8:00p,0,2016,MIL
90,201511010TOR,"Sun, Nov 1, 2015",2015-11-01,3,Away,3,TOR,Toronto Raptors,False,106,87,Loss,L 3,6:00p,0,2016,MIL
91,201511020BRK,"Mon, Nov 2, 2015",2015-11-02,4,Away,3,BRK,Brooklyn Nets,False,96,103,Win,W 1,7:30p,1,2016,MIL
92,201511040MIL,"Wed, Nov 4, 2015",2015-11-04,5,Home,3,PHI,Philadelphia 76ers,False,87,91,Win,W 2,8:00p,2,2016,MIL
93,201511060NYK,"Fri, Nov 6, 2015",2015-11-06,6,Away,3,NYK,New York Knicks,False,92,99,Win,W 3,7:30p,3,2016,MIL
94,201511070MIL,"Sat, Nov 7, 2015",2015-11-07,7,Home,3,BRK,Brooklyn Nets,False,86,94,Win,W 4,8:30p,4,2016,MIL
